766192484, 8
766192485, 8
766192486, 10
766192487, 3
766192488, 10
766192489, 3
766192490, 8
766192491, 10
766192492, 3
766192493, 3
766192494, 10
766192495, 8
766192496, 10
766192497, 8
766192498, 8
766192499, 3
766192500, 3
766192501, 10
766192502, 3
766192503, 3
766192504, 8
766192505, 10
766192506, 8
766192507, 10
766192508, 3
766192509, 3
766192510, 3
766192511, 8
766192512, 8
766192513, 10
766192514, 8
766192515, 3
766192516, 3
766192517, 3
766192518, 3
766192519, 8
766192520, 3
766192521, 10
766192522, 10
766192523, 8
766192524, 3
766192525, 3
766192526, 8
766192527, 8
766192528, 8
766192529, 10
766192530, 10
766192531, 10
766192532, 10
766192533, 10
766192534, 10
766192535, 8
766192536, 3
766192537, 10
766192538, 8
766192539, 8
766192540, 10
766192541, 8
766192542, 3
766192543, 3
766192544, 10
766192545, 3
766192546, 8
766192547, 3
766192548, 8
766192549, 3
766192550, 3
766192551, 3
766192552, 8
766192553, 3
766192554, 8
766192555, 3
766192556, 8
766192557, 8
766192558, 10
766192559, 10
766192560, 10
766192561, 3
766192562, 8
766192563, 3
766192564, 3
766192565, 1
766192566, 10
766192567, 10
766192568, 10
766192569, 3
766192570, 10
766192571, 3
766192572, 8
766192573, 10
766192574, 3
766192575, 10
766192576, 10
766192577, 10
766192578, 3
766192579, 3
766192580, 10
766192581, 8
766192582, 3
766192583, 8
766192585, 3
766192586, 10
766192587, 1
766192588, 8
766192589, 3
766192590, 3
766192591, 3
766192592, 10
766192593, 3
766192594, 8
766192595, 8
766192596, 3
766192597, 8
766192598, 3
766192599, 3
766192600, 10
766192601, 3
766192602, 8
766192603, 10
766192604, 3
766192605, 3
766192606, 10
766192607, 10
766192608, 10
766192609, 3
766192610, 10
766192611, 3
766192612, 8
766192613, 8
766192614, 3
766192615, 3
766192616, 10
766192617, 3
766192618, 3
766192619, 10
766192620, 10
766192621, 10
766192622, 3
766192623, 8
766192624, 8
766192625, 8
766192626, 8
766192627, 10
766192628, 8
766192629, 3
766192630, 3
766192631, 10
766192632, 10
766192633, 10
766192634, 8
766192635, 8
766192636, 8
766192637, 3
766192638, 10
766192639, 10
766192640, 3
766192641, 8
766192642, 3
766192643, 10
766192644, 3
766192645, 8
766192646, 8
766192647, 8
766192648, 3
766192649, 3
766192650, 3
766192651, 10
766192652, 3
766192653, 10
766192654, 8
766192655, 3
766192656, 3
766192657, 3
766192658, 10
766192659, 3
766192660, 10
766192661, 8
766192662, 10
766192663, 10
766192664, 3
766192665, 8
766192666, 3
766192667, 1
766192668, 8
766192669, 8
766192670, 3
766192671, 3
766192672, 10
766192673, 3
766192674, 10
766192675, 10
766192676, 3
766192677, 8
766192678, 3
766192679, 3
766192680, 3
766192681, 3
766192682, 3
766192683, 8
766192684, 8
766192685, 3
766192686, 3
766192687, 8
766192688, 3
766192689, 10
766192690, 8
766192691, 8
766192692, 8
766192693, 3
766192694, 8
766192695, 3
766192696, 3
766192697, 10
766192698, 3
766192699, 8
766192700, 8
766192701, 10
766192702, 8
766192703, 8
766192704, 3
766192705, 10
766192706, 10
766192707, 3
766192708, 8
766192709, 3
766192710, 8
766192711, 3
766192712, 8
766192713, 10
766192714, 3
766192715, 3
766192716, 3
766192717, 8
766192718, 3
766192719, 3
766192720, 10
766192721, 3
766192722, 8
766192723, 10
766192724, 8
766192725, 8
766192726, 3
766192727, 10
766192728, 3
766192729, 10
766192730, 3
766192731, 10
766192732, 10
766192733, 3
766192734, 8
766192735, 3
766192736, 8
766192737, 10
766192738, 3
766192739, 10
766192740, 8
766192741, 10
766192742, 3
766192743, 10
766192744, 8
